IP,Port,Vulnerabilities
122.56.63.194,8008,
122.56.78.249,179,
122.56.168.243,179,
210.55.73.145,179,
122.56.77.73,179,
219.88.226.87,179,
210.55.77.93,179,
122.56.171.87,110,
122.56.170.145,80,"CVE-2018-10549, CVE-2018-10548, CVE-2016-3141, CVE-2018-10545, CVE-2017-7679, CVE-2018-10546, CVE-2015-8874, CVE-2017-7272, CVE-2017-9798, CVE-2015-0231, CVE-2015-3185, CVE-2015-3184, CVE-2015-3183, CVE-2015-0235, CVE-2016-3142, CVE-2016-4071, CVE-2022-28330, CVE-2015-8835, CVE-2016-7418, CVE-2015-8393, CVE-2016-7414, CVE-2016-4537, CVE-2016-7416, CVE-2016-7417, CVE-2016-7411, CVE-2016-7412, CVE-2016-7413, CVE-2019-9638, CVE-2018-10547, CVE-2016-3171, CVE-2016-5773, CVE-2016-5772, CVE-2016-5771, CVE-2016-5770, CVE-2020-1927, CVE-2015-8935, CVE-2018-20783, CVE-2015-2348, CVE-2017-3167, CVE-2015-1352, CVE-2015-8838, CVE-2016-4073, CVE-2016-4072, CVE-2017-3169, CVE-2016-4070, CVE-2021-44790, CVE-2018-14851, CVE-2017-7890, CVE-2015-0232, CVE-2016-4975, CVE-2020-13938, CVE-2015-4116, CVE-2020-35452, CVE-2022-22719, CVE-2014-9426, CVE-2016-4473, CVE-2016-9138, CVE-2016-5766, CVE-2016-5767, CVE-2016-5768, CVE-2016-5769, CVE-2016-9137, CVE-2015-8866, CVE-2020-1934, CVE-2015-2787, CVE-2021-34798, CVE-2018-19518, CVE-2015-6831, CVE-2015-6832, CVE-2015-6833, CVE-2015-6834, CVE-2015-6835, CVE-2015-6836, CVE-2015-6837, CVE-2015-6838, CVE-2015-3411, CVE-2018-19396, CVE-2017-11143, CVE-2017-11142, CVE-2017-11145, CVE-2017-11144, CVE-2015-3416, CVE-2019-0217, CVE-2018-17082, CVE-2013-5704, CVE-2019-9639, CVE-2013-6501, CVE-2019-17567, CVE-2022-31813, CVE-2016-1903, CVE-2013-7456, CVE-2019-9637, CVE-2016-3074, CVE-2018-14883, CVE-2015-3152, CVE-2015-4601, CVE-2015-4600, CVE-2015-4603, CVE-2015-4602, CVE-2015-4605, CVE-2015-4604, CVE-2015-8383, CVE-2016-5093, CVE-2015-8394, CVE-2014-9652, CVE-2014-9653, CVE-2016-5094, CVE-2014-8142, CVE-2021-26690, CVE-2021-26691, CVE-2016-4541, CVE-2019-0220, CVE-2017-7963, CVE-2016-4544, CVE-2016-5399, CVE-2019-9023, CVE-2019-9020, CVE-2019-9021, CVE-2017-9227, CVE-2019-9024, CVE-2015-8389, CVE-2022-30556, CVE-2021-39275, CVE-2016-6291, CVE-2016-6290, CVE-2016-6292, CVE-2016-6295, CVE-2016-6294, CVE-2016-6297, CVE-2016-6296, CVE-2016-4342, CVE-2014-3581, CVE-2016-0736, CVE-2014-3583, CVE-2022-29404, CVE-2015-8865, CVE-2018-1312, CVE-2015-8867, CVE-2016-3185, CVE-2016-10712, CVE-2014-9709, CVE-2022-22720, CVE-2015-5589, CVE-2015-0273, CVE-2018-7584, CVE-2016-10397, CVE-2015-3415, CVE-2014-3669, CVE-2014-3668, CVE-2015-8386, CVE-2015-8387, CVE-2016-10161, CVE-2021-44224, CVE-2016-7130, CVE-2022-31629, CVE-2022-22721, CVE-2006-20001, CVE-2019-10092, CVE-2015-4598, CVE-2017-9228, CVE-2017-9229, CVE-2017-15715, CVE-2019-10098, CVE-2014-9705, CVE-2016-5387, CVE-2017-9224, CVE-2015-4599, CVE-2021-40438, CVE-2015-3414, CVE-2022-23943, CVE-2016-7132, CVE-2018-17199, CVE-2016-6289, CVE-2017-15710, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2015-8876, CVE-2022-36760, CVE-2015-5590, CVE-2023-25690, CVE-2016-5096, CVE-2015-8878, CVE-2015-8879, CVE-2016-1283, CVE-2015-9253, CVE-2020-11985, CVE-2015-2305, CVE-2015-8391, CVE-2015-2301, CVE-2017-9226, CVE-2022-26377, CVE-2016-10158, CVE-2016-10159, CVE-2014-3670, CVE-2015-8994, CVE-2016-4543, CVE-2019-9641, CVE-2016-8743, CVE-2016-4542, CVE-2018-19395, CVE-2016-5385, CVE-2018-15132, CVE-2016-7124, CVE-2016-7125, CVE-2016-7126, CVE-2016-4540, CVE-2016-7478, CVE-2016-7128, CVE-2016-7129, CVE-2016-2554, CVE-2017-11628, CVE-2017-12933, CVE-2014-9767, CVE-2015-2331, CVE-2022-31628, CVE-2016-8612, CVE-2016-7568, CVE-2016-4538, CVE-2016-4539, CVE-2018-19935, CVE-2016-6207, CVE-2016-5095, CVE-2015-8390, CVE-2022-37436, CVE-2016-7131, CVE-2016-9935, CVE-2016-5114, CVE-2016-9934, CVE-2018-19520, CVE-2016-7127, CVE-2017-9788, CVE-2014-8109, CVE-2015-4644, CVE-2015-3412, CVE-2014-3710, CVE-2015-4643, CVE-2015-4642, CVE-2015-2325, CVE-2015-2326, CVE-2016-2161, CVE-2015-0228, CVE-2015-7803, CVE-2015-7804, CVE-2015-8873, CVE-2018-1283, CVE-2017-16642, CVE-2022-28615, CVE-2022-28614, CVE-2015-8877"
122.56.76.223,179,
122.56.75.63,179,
122.56.76.249,179,
219.88.224.67,179,
210.55.72.175,179,
210.55.76.11,179,
122.56.171.213,389,
210.55.72.225,37777,
210.55.227.9,8081,
122.56.78.9,179,
122.56.168.177,465,
210.55.73.107,179,
210.55.73.119,80,
219.88.225.191,443,
210.55.227.119,179,
210.55.78.219,179,
219.88.226.77,80,
210.55.76.241,179,
210.55.77.97,179,
210.55.78.113,179,
122.56.78.145,179,
210.55.76.131,179,
125.236.252.145,8008,
122.56.169.245,179,
210.55.73.201,179,
122.56.77.211,179,
210.55.228.121,179,
122.56.74.35,179,
210.55.72.49,179,
122.56.74.243,179,
210.55.228.7,179,
122.56.79.19,179,
122.56.75.91,179,
210.55.79.87,80,"CVE-2022-26377, CVE-2020-11985, CVE-2022-31628, CVE-2022-31629, CVE-2006-20001, CVE-2017-7679, CVE-2022-28614, CVE-2020-1934, CVE-2018-17189, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2018-15132, CVE-2018-19396, CVE-2018-1333, CVE-2022-22720, CVE-2018-11763, CVE-2022-28330, CVE-2020-11993, CVE-2018-19520, CVE-2019-10081, CVE-2018-19395, CVE-2018-19935, CVE-2019-9023, CVE-2019-0217, CVE-2019-0196, CVE-2019-9020, CVE-2022-22721, CVE-2019-0211, CVE-2019-10092, CVE-2019-9639, CVE-2019-9021, CVE-2019-17567, CVE-2017-15715, CVE-2022-31813, CVE-2019-10098, CVE-2022-37436, CVE-2019-9637, CVE-2016-5387, CVE-2021-40438, CVE-2022-30556, CVE-2018-20783, CVE-2021-34798, CVE-2019-9024, CVE-2022-23943, CVE-2020-1927, CVE-2018-17199, CVE-2018-14883, CVE-2017-9788, CVE-2017-7272, CVE-2017-15710, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2017-3167, CVE-2017-9798, CVE-2023-25690, CVE-2017-3169, CVE-2020-9490, CVE-2015-9253, CVE-2016-2161, CVE-2021-33193, CVE-2021-44790, CVE-2018-14851, CVE-2019-9641, CVE-2021-26690, CVE-2021-26691, CVE-2018-17082, CVE-2019-0220, CVE-2017-7963, CVE-2018-19518, CVE-2016-4975, CVE-2020-13938, CVE-2019-9517, CVE-2018-1283, CVE-2019-10082, CVE-2016-8740, CVE-2016-8743, CVE-2021-44224, CVE-2019-9638, CVE-2021-39275, CVE-2022-28615, CVE-2020-35452, CVE-2022-36760, CVE-2022-22719"
122.56.78.153,179,
210.55.77.235,179,
210.55.228.171,179,
